,team,date,points,RW,ROW,SOW,goals,goals_against,power_play,penalty_kill,net_ppp,net_pkp,shots,shots_against,FOWp
1181,New York Rangers,2012/05/21@ NJD,0,0,0,0,1,4,0.0,83.3,0.0,83.3,29.0,30.0,47.6
1182,Los Angeles Kings,2012/05/22@ PHX,2,0,1,0,4,3,0.0,83.3,0.0,100.0,51.0,41.0,49.0
1183,Phoenix Coyotes,2012/05/22vs LAK,0,0,0,0,3,4,16.7,100.0,0.0,100.0,41.0,51.0,51.0
1184,New Jersey Devils,2012/05/23@ NYR,2,1,1,0,5,3,0.0,100.0,0.0,100.0,17.0,28.0,40.3
1185,New York Rangers,2012/05/23vs NJD,0,0,0,0,3,5,0.0,100.0,0.0,100.0,28.0,17.0,59.7
1186,New Jersey Devils,2012/05/25vs NYR,2,0,1,0,3,2,33.3,100.0,33.3,100.0,29.0,35.0,56.1
1187,New York Rangers,2012/05/25@ NJD,0,0,0,0,2,3,0.0,66.7,0.0,66.7,35.0,29.0,43.9
1188,New Jersey Devils,2012/05/30vs LAK,0,0,0,0,1,2,0.0,100.0,0.0,100.0,17.0,25.0,44.6
1189,Los Angeles Kings,2012/05/30@ NJD,2,0,1,0,2,1,0.0,100.0,0.0,100.0,25.0,17.0,55.4
1190,New Jersey Devils,2012/06/02vs LAK,0,0,0,0,1,2,0.0,100.0,0.0,100.0,33.0,32.0,46.5
1191,Los Angeles Kings,2012/06/02@ NJD,2,0,1,0,2,1,0.0,100.0,0.0,100.0,32.0,33.0,53.5
1192,New Jersey Devils,2012/06/04@ LAK,0,0,0,0,0,4,0.0,0.0,0.0,0.0,22.0,21.0,43.4
1193,Los Angeles Kings,2012/06/04vs NJD,2,1,1,0,4,0,100.0,100.0,100.0,100.0,21.0,22.0,56.6
1194,New Jersey Devils,2012/06/06@ LAK,2,1,1,0,3,1,0.0,75.0,0.0,75.0,24.0,22.0,54.0
1195,Los Angeles Kings,2012/06/06vs NJD,0,0,0,0,1,3,25.0,100.0,25.0,100.0,22.0,24.0,46.0
1196,New Jersey Devils,2012/06/09vs LAK,2,1,1,0,2,1,50.0,100.0,50.0,100.0,19.0,26.0,52.8
1197,Los Angeles Kings,2012/06/09@ NJD,0,0,0,0,1,2,0.0,50.0,0.0,50.0,26.0,19.0,47.2
1198,New Jersey Devils,2012/06/11@ LAK,0,0,0,0,1,6,0.0,66.7,0.0,66.7,18.0,25.0,35.9
1199,Los Angeles Kings,2012/06/11vs NJD,2,1,1,0,6,1,33.3,100.0,33.3,100.0,25.0,18.0,64.2
1200,Chicago Blackhawks,2013/04/30vs MIN,2,0,1,0,2,1,33.3,100.0,33.3,100.0,37.0,27.0,50.0
1201,Detroit Red Wings,2013/04/30@ ANA,0,0,0,0,1,3,25.0,50.0,25.0,50.0,22.0,27.0,51.8
1202,St. Louis Blues,2013/04/30vs LAK,2,0,1,0,2,1,20.0,100.0,20.0,150.0,42.0,29.0,63.8
1203,Anaheim Ducks,2013/04/30vs DET,2,1,1,0,3,1,50.0,75.0,50.0,75.0,27.0,22.0,48.2
1204,Los Angeles Kings,2013/04/30@ STL,0,0,0,0,1,2,0.0,80.0,-50.0,80.0,29.0,42.0,36.2
1205,Minnesota Wild,2013/04/30@ CHI,0,0,0,0,1,2,0.0,66.7,0.0,66.7,27.0,37.0,50.0
1206,New York Islanders,2013/05/01@ PIT,0,0,0,0,0,5,0.0,50.0,0.0,50.0,26.0,26.0,51.6
1207,Pittsburgh Penguins,2013/05/01vs NYI,2,1,1,0,5,0,50.0,100.0,50.0,100.0,26.0,26.0,48.4
1208,Boston Bruins,2013/05/01vs TOR,2,1,1,0,4,1,20.0,66.7,20.0,66.7,40.0,20.0,46.3
1209,Toronto Maple Leafs,2013/05/01@ BOS,0,0,0,0,1,4,33.3,80.0,33.3,80.0,20.0,40.0,53.7
1210,Vancouver Canucks,2013/05/01vs SJS,0,0,0,0,1,3,0.0,75.0,0.0,75.0,30.0,28.0,42.9
1211,San Jose Sharks,2013/05/01@ VAN,2,1,1,0,3,1,25.0,100.0,25.0,100.0,28.0,30.0,57.1
1212,New York Rangers,2013/05/02@ WSH,0,0,0,0,1,3,0.0,80.0,0.0,80.0,36.0,30.0,48.4
1213,Montréal Canadiens,2013/05/02vs OTT,0,0,0,0,2,4,20.0,100.0,20.0,100.0,50.0,31.0,60.6
1214,Ottawa Senators,2013/05/02@ MTL,2,1,1,0,4,2,0.0,80.0,0.0,80.0,31.0,50.0,39.4
1215,Washington Capitals,2013/05/02vs NYR,2,1,1,0,3,1,20.0,100.0,20.0,100.0,30.0,36.0,51.6
1216,Detroit Red Wings,2013/05/02@ ANA,2,0,1,0,5,4,50.0,80.0,50.0,80.0,32.0,32.0,61.5
1217,St. Louis Blues,2013/05/02vs LAK,2,1,1,0,2,1,0.0,75.0,0.0,75.0,25.0,29.0,55.2
1218,Anaheim Ducks,2013/05/02vs DET,0,0,0,0,4,5,20.0,50.0,20.0,50.0,32.0,32.0,38.5
1219,Los Angeles Kings,2013/05/02@ STL,0,0,0,0,1,2,25.0,100.0,25.0,100.0,29.0,25.0,44.8
1220,New York Islanders,2013/05/03@ PIT,2,1,1,0,4,3,25.0,75.0,25.0,75.0,42.0,33.0,39.0
1221,Pittsburgh Penguins,2013/05/03vs NYI,0,0,0,0,3,4,25.0,75.0,25.0,75.0,33.0,42.0,61.0
1222,Montréal Canadiens,2013/05/03vs OTT,2,1,1,0,3,1,0.0,100.0,0.0,100.0,34.0,30.0,57.9
1223,Ottawa Senators,2013/05/03@ MTL,0,0,0,0,1,3,0.0,100.0,0.0,100.0,30.0,34.0,42.1
1224,Chicago Blackhawks,2013/05/03vs MIN,2,1,1,0,5,2,0.0,100.0,0.0,150.0,48.0,28.0,54.4
1225,Vancouver Canucks,2013/05/03vs SJS,0,0,0,0,2,3,33.3,100.0,33.3,100.0,31.0,33.0,52.1
1226,San Jose Sharks,2013/05/03@ VAN,2,0,1,0,3,2,0.0,66.7,0.0,66.7,33.0,31.0,47.9
1227,Minnesota Wild,2013/05/03@ CHI,0,0,0,0,2,5,0.0,100.0,-50.0,100.0,28.0,48.0,45.6
1228,New York Rangers,2013/05/04@ WSH,0,0,0,0,0,1,0.0,50.0,0.0,50.0,24.0,38.0,48.6
1229,Boston Bruins,2013/05/04vs TOR,0,0,0,0,2,4,0.0,75.0,0.0,75.0,41.0,32.0,64.5
1230,Toronto Maple Leafs,2013/05/04@ BOS,2,1,1,0,4,2,25.0,100.0,25.0,100.0,32.0,41.0,35.5
1231,Washington Capitals,2013/05/04vs NYR,2,0,1,0,1,0,50.0,100.0,50.0,100.0,38.0,24.0,51.4
1232,Detroit Red Wings,2013/05/04vs ANA,0,0,0,0,0,4,0.0,66.7,-16.7,66.7,23.0,29.0,50.9
1233,St. Louis Blues,2013/05/04@ LAK,0,0,0,0,0,1,0.0,100.0,0.0,100.0,30.0,21.0,50.9
1234,Anaheim Ducks,2013/05/04@ DET,2,1,1,0,4,0,33.3,100.0,33.3,116.7,29.0,23.0,49.2
1235,Los Angeles Kings,2013/05/04vs STL,2,1,1,0,1,0,0.0,100.0,0.0,100.0,21.0,30.0,49.1
1236,New York Islanders,2013/05/05vs PIT,0,0,0,0,4,5,0.0,40.0,0.0,60.0,36.0,25.0,52.5
1237,Pittsburgh Penguins,2013/05/05@ NYI,2,0,1,0,5,4,60.0,100.0,40.0,100.0,25.0,36.0,47.5
1238,Montréal Canadiens,2013/05/05@ OTT,0,0,0,0,1,6,16.7,72.7,16.7,72.7,34.0,30.0,47.7
1239,Ottawa Senators,2013/05/05vs MTL,2,1,1,0,6,1,27.3,83.3,27.3,83.3,30.0,34.0,52.3
1240,Chicago Blackhawks,2013/05/05@ MIN,0,0,0,0,2,3,0.0,100.0,0.0,100.0,27.0,37.0,44.4
1241,Vancouver Canucks,2013/05/05@ SJS,0,0,0,0,2,5,0.0,62.5,0.0,62.5,30.0,38.0,42.3
1242,San Jose Sharks,2013/05/05vs VAN,2,1,1,0,5,2,37.5,100.0,37.5,100.0,38.0,30.0,57.8
1243,Minnesota Wild,2013/05/05vs CHI,2,0,1,0,3,2,0.0,100.0,0.0,100.0,37.0,27.0,55.6
1244,New York Rangers,2013/05/06vs WSH,2,1,1,0,4,3,16.7,100.0,16.7,100.0,30.0,31.0,47.4
1245,Boston Bruins,2013/05/06@ TOR,2,1,1,0,5,2,0.0,60.0,0.0,80.0,38.0,47.0,60.0
1246,Toronto Maple Leafs,2013/05/06vs BOS,0,0,0,0,2,5,40.0,100.0,20.0,100.0,47.0,38.0,40.0
